�;;;;;;;;;;;;;;;;;
75 000 $,3 комнаты,680 $ за м²,11 из 25,*** not found ,*** not found ,110.27 / 58 / - м²,ул. Семьи Сосниных,;;;;;;;;;;;;;;;;;
140 000 $,3 комнаты,1400 $ за м²,5 из 18,год постройки2011,монолитно-каркасные,100 / 56 / 18 м²,просп. Лобановского (Краснозвездный), 150в;;;;;;;;;;;;;;;;;
140 000 $,2 комнаты,2414 $ за м²,5 из 5,год постройки1902,кирпичные,58 / 32 / 8 м²,ул. Руставели,36;;;;;;;;;;;;;;;;;
160 000 $,2 комнаты,2025 $ за м²,2 из 10,год постройки2014,монолитно-каркасные,79 / 36 / 12 м²,ул. Ломоносова, 71д;;;;;;;;;;;;;;;;;
870 000 $,3 комнаты,6273 $ за м²,2 из 22,год постройки2009,монолитно-каркасные,138.7 / 77.6 / 18 м²,ул. Институтская, 18а;;;;;;;;;;;;;;;;;
14 883 863 грн,5 комнат,73 902 грн за м²,21 из 23,год постройки2018,монолитно-каркасные,201.4 / 115 / 25 м²,ул. Антоновича (Горького),74;;;;;;;;;;;;;;;;;
220 000 $,2 комнаты,2529 $ за м²,4 из 23,год постройки2012,монолитно-каркасные,87 / 43 / 21 м²,Днепровская наб., 14б;;;;;;;;;;;;;;;;;
133 000 $,1 комната,3325 $ за м²,6 из 20,год постройки2017,монолитно-каркасные,40 / 10 / 19 м²,ул. Предславинская,53;;;;;;;;;;;;;;;;;
69 000 $,2 комнаты,1353 $ за м²,2 из 9,год постройки1980,кирпичные,51 / 29 / 8 м²,ул. Коперника, 16б;;;;;;;;;;;;;;;;;
169 999 $,1 комната,3542 $ за м²,8 из 19,год постройки2012,монолитно-каркасные,48 / 20 / 17 м²,ул. Драгомирова,12;;;;;;;;;;;;;;;;;
212 000 $,2 комнаты,2494 $ за м²,2 из 17,*** not found ,кирпичные,85 / 40.1 / 14.8 м²,ул. Драгомирова,;;;;;;;;;;;;;;;;;
83 500 $,2 комнаты,1099 $ за м²,13 из 25,год постройки2018,монолитно-каркасные,76 / 33.4 / 15.6 м²,ул. Ревуцкого, 40г;;;;;;;;;;;;;;;;;
75 000 $,2 комнаты,1339 $ за м²,12 из 12,год постройки1985,кирпичные,56 / 32.9 / 8.2 м²,ул. Пожарского, 8а;;;;;;;;;;;;;;;;;
65 000 $,1 комната,1711 $ за м²,12 из 25,год постройки2017,панельные,38 / 16 / 12 м²,ул. Гмыри, 12б;;;;;;;;;;;;;;;;;
82 000 $,3 комнаты,1171 $ за м²,5 из 9,год постройки1981,утепленная панель,70 / 44 / 8.5 м²,ул. Приозерная, 6а;;;;;;;;;;;;;;;;;
207 000 $,3 комнаты,2010 $ за м²,16 из 18,год постройки2016,монолитно-каркасные,103 / 63 / 15 м²,ул. Коперника,3;;;;;;;;;;;;;;;;;
51 990 $,2 комнаты,921 $ за м²,4 из 6,*** not found ,<span>6 декабря 2019 г.</span>,56.44 / 29 / 10.24 м²,ул. Стеценко,;;;;;;;;;;;;;;;;;
57 999 $,3 комнаты,841 $ за м²,3 из 10,год постройки1987,утепленная панель,69 / 42 / 7.4 м²,ул. Каштановая,5;;;;;;;;;;;;;;;;;
57 000 $,2 комнаты,1203 $ за м²,21 из 24,*** not found ,<span>18 января</span>,47.39 / 16.21 / 17.03 м²,просп. Правды,;;;;;;;;;;;;;;;;;
95 000 $,1 комната,1900 $ за м²,3 из 23,год постройки2016,монолитно-каркасные,50 / 28 / 20 м²,ул. Трускавецкая, 4б;;;;;;;;;;;;;;;;;
50 000 $,3 комнаты,781 $ за м²,8 из 9,год постройки1976,*** not found ,64 / 45 / 8 м²,ул. Наумова, 37а;;;;;;;;;;;;;;;;;
95 000 $,4 комнаты,990 $ за м²,5 из 5,год постройки1960,кирпичные,96 / 64 / 8.4 м²,просп. Лобановского (Краснозвездный),53;;;;;;;;;;;;;;;;;
46 860 $,2 комнаты,1019 $ за м²,5 из 5,год постройки1966,блочные,46 / 32 / 7 м²,ул. Салютная,8;;;;;;;;;;;;;;;;;
38 500 $,2 комнаты,875 $ за м²,3 из 5,год постройки1964,панельные,44 / 28 / 6 м²,ул. Василенко, 23б;;;;;;;;;;;;;;;;;
110 000 $,3 комнаты,1100 $ за м²,7 из 12,год постройки2008,монолитно-каркасные,100 / 50 / 20 м²,просп. Палладина, 25а;;;;;;;;;;;;;;;;;
269 000 $,5 комнат,1121 $ за м²,14 из 15,*** not found ,<span>14 октября 2020 г.</span>,240 / 125 / 26 м²,ул. Мит. А. Шептицкого (Анатолия Луначарского),;;;;;;;;;;;;;;;;;
1 983 000 грн,2 комнаты,27 503 грн за м²,6 из 25,*** not found ,<span>22 октября 2020 г.</span>,72.1 / 35.59 / 12.84 м²,Балтийский пер.,;;;;;;;;;;;;;;;;;
119 000 $,2 комнаты,1587 $ за м²,19 из 25,год постройки2007,монолитно-каркасные,75 / 35 / 15 м²,Днепровская наб.,26;;;;;;;;;;;;;;;;;
210 000 $,3 комнаты,2692 $ за м²,1 из 5,год постройки1916,кирпичные,78 / 50 / 10 м²,ул. Станиславского,3;;;;;;;;;;;;;;;;;
310 000 $,3 комнаты,2460 $ за м²,7 из 16,*** not found ,кирпичные,126 / 64.6 / 20.8 м²,ул. Драгомирова,;;;;;;;;;;;;;;;;;
93 000 $,3 комнаты,1000 $ за м²,12 из 18,*** not found ,<span>2 ноября 2020 г.</span>,93 / 50 / 13 м²,просп. Правды,;;;;;;;;;;;;;;;;;
98 000 $,2 комнаты,1556 $ за м²,6 из 16,год постройки2013,панельные,63 / 32 / 12 м²,ул. Максимовича (Онуфрия Трутенко), 7в;;;;;;;;;;;;;;;;;
78 000 $,2 комнаты,1773 $ за м²,1 из 4,год постройки2019,монолитно-каркасные,44 / 25 / 4 м²,ЖК PARKLAND,;;;;;;;;;;;;;;;;;
68 000 $,2 комнаты,1001 $ за м²,24 из 26,*** not found ,*** not found ,67.92 / 28.54 / 17.16 м²,ул. Причальная,;;;;;;;;;;;;;;;;;
77 000 $,1 комната,1481 $ за м²,11 из 17,год постройки2009,монолитно-каркасные,52 / 21 / 14 м²,просп. Победы (Брест-Литовский),125;;;;;;;;;;;;;;;;;
176 000 $,3 комнаты,1778 $ за м²,5 из 25,год постройки2017,монолитно-каркасные,99 / 48.1 / 15.3 м²,ул. Богдановская, 7в;;;;;;;;;;;;;;;;;
5 572 000 грн,3 комнаты,58 042 грн за м²,9 из 12,*** not found ,кирпичные,96 / 50 / 17 м²,Тверской туп.,;;;;;;;;;;;;;;;;;
129 000 $,3 комнаты,1985 $ за м²,3 из 4,*** not found ,*** not found ,65 м²,ул. Набережно-Крещатицкая,;;;;;;;;;;;;;;;;;
136 000 $,2 комнаты,2720 $ за м²,15 из 25,год постройки2016,монолитно-каркасные,50 / - / 21 м²,ул. Липковского (Урицкого), 16в;;;;;;;;;;;;;;;;;
71 000 $,3 комнаты,934 $ за м²,3 из 9,год постройки1986,утепленная панель,76 / 41 / 9 м²,просп. Правды,8;;;;;;;;;;;;;;;;;
108 000 $,1 комната,2384 $ за м²,15 из 25,год постройки2019,монолитно-каркасные,45.3 м²,Днепровская наб., 16г;;;;;;;;;;;;;;;;;
175 000 $,4 комнаты,1768 $ за м²,9 из 9,год постройки1977,кирпичные,99 / 50 / 25 м²,ул. Тютюнника (Анри Барбюса), 5б;;;;;;;;;;;;;;;;;
45 006 $,3 комнаты,602 $ за м²,17 из 17,*** not found ,<span>31 января</span>,74.7 / 53.2 / - м²,3-комнатная квартира 74,;;;;;;;;;;;;;;;;;
78 000 $,2 комнаты,1322 $ за м²,22 из 25,год постройки2018,монолитно-каркасные,59 м²,просп. Правды, 41д;;;;;;;;;;;;;;;;;
65 000 $,3 комнаты,890 $ за м²,1 из 9,год постройки1983,утепленная панель,73 / 42 / 8 м²,ул. Закревского, 39а;;;;;;;;;;;;;;;;;
3 396 000 грн,2 комнаты,54 774 грн за м²,14 из 25,*** not found ,<span>25 ноября 2020 г.</span>,62 / - / 20 м²,Тверской туп.,;;;;;;;;;;;;;;;;;
68 899 $,3 комнаты,907 $ за м²,5 из 5,год постройки1963,кирпичные,76 / 50 / 10 м²,ул. Туполева, 16ж;;;;;;;;;;;;;;;;;
205 000 $,2 комнаты,2697 $ за м²,12 из 23,год постройки2014,монолитно-каркасные,76 / 20 / 6 м²,ул. Глубочицкая, 32а;;;;;;;;;;;;;;;;;
211 000 $,3 комнаты,1005 $ за м²,4-этажный дом,год постройки1906,кирпичные,210 / 69 / 15 м²,ул. Сечевых Стрельцов (Артёма),10;;;;;;;;;;;;;;;;;
